Date,MaxTemp,MinTemp,Rainfall,Latitude,Longitude,LocationName,Month,Week,Season,Monsoon,RollingRain7,RollingRain30,RollingTemp7,RollingTemp30
2021-07-30,27.4,19.4,0.6,12.97,77.59,Bengaluru,7,30,Monsoon,1,0.6,0.6,27.4,27.4
2021-07-31,28.3,19.2,1.0,12.97,77.59,Bengaluru,7,30,Monsoon,1,0.8,0.8,27.85,27.85
2021-08-01,27.8,19.4,0.5,12.97,77.59,Bengaluru,8,30,Monsoon,1,0.7,0.7,27.83,27.83
2021-08-02,27.5,18.7,1.0,12.97,77.59,Bengaluru,8,31,Monsoon,1,0.78,0.78,27.75,27.75
2021-08-03,28.1,19.6,0.9,12.97,77.59,Bengaluru,8,31,Monsoon,1,0.8,0.8,27.82,27.82
2021-08-04,27.5,19.7,2.1,12.97,77.59,Bengaluru,8,31,Monsoon,1,1.02,1.02,27.77,27.77
2021-08-05,27.8,19.2,4.9,12.97,77.59,Bengaluru,8,31,Monsoon,1,1.57,1.57,27.77,27.77
2021-08-06,28.0,19.8,2.3,12.97,77.59,Bengaluru,8,31,Monsoon,1,1.81,1.66,27.86,27.8
2021-08-07,27.9,20.0,5.9,12.97,77.59,Bengaluru,8,31,Monsoon,1,2.51,2.13,27.8,27.81
2021-08-08,28.3,19.7,4.0,12.97,77.59,Bengaluru,8,31,Monsoon,1,3.01,2.32,27.87,27.86
2021-08-09,28.2,20.1,1.3,12.97,77.59,Bengaluru,8,32,Monsoon,1,3.06,2.23,27.97,27.89
2021-08-10,27.7,20.1,3.8,12.97,77.59,Bengaluru,8,32,Monsoon,1,3.47,2.36,27.91,27.88
2021-08-11,27.8,19.7,7.9,12.97,77.59,Bengaluru,8,32,Monsoon,1,4.3,2.78,27.96,27.87
2021-08-12,26.6,20.1,8.8,12.97,77.59,Bengaluru,8,32,Monsoon,1,4.86,3.21,27.79,27.78
2021-08-13,28.0,19.6,7.2,12.97,77.59,Bengaluru,8,32,Monsoon,1,5.56,3.48,27.79,27.79
2021-08-14,27.0,19.1,1.4,12.97,77.59,Bengaluru,8,32,Monsoon,1,4.91,3.35,27.66,27.74
2021-08-15,26.6,18.7,0.9,12.97,77.59,Bengaluru,8,32,Monsoon,1,4.47,3.21,27.41,27.68
2021-08-16,26.6,19.5,1.5,12.97,77.59,Bengaluru,8,33,Monsoon,1,4.5,3.11,27.19,27.62
2021-08-17,25.3,19.4,1.3,12.97,77.59,Bengaluru,8,33,Monsoon,1,4.14,3.02,26.84,27.49
2021-08-18,27.4,19.5,3.3,12.97,77.59,Bengaluru,8,33,Monsoon,1,3.49,3.03,26.79,27.49
2021-08-19,26.3,20.0,0.2,12.97,77.59,Bengaluru,8,33,Monsoon,1,2.26,2.9,26.74,27.43
2021-08-20,28.2,19.0,0.4,12.97,77.59,Bengaluru,8,33,Monsoon,1,1.29,2.78,26.77,27.47
2021-08-21,26.8,19.8,1.3,12.97,77.59,Bengaluru,8,33,Monsoon,1,1.27,2.72,26.74,27.44
2021-08-22,27.2,19.2,20.7,12.97,77.59,Bengaluru,8,33,Monsoon,1,4.1,3.47,26.83,27.43
2021-08-23,26.9,19.1,11.8,12.97,77.59,Bengaluru,8,34,Monsoon,1,5.57,3.8,26.87,27.41
2021-08-24,27.8,18.9,2.8,12.97,77.59,Bengaluru,8,34,Monsoon,1,5.79,3.76,27.23,27.42
2021-08-25,27.3,19.8,9.7,12.97,77.59,Bengaluru,8,34,Monsoon,1,6.7,3.98,27.21,27.42
